yearSeason,urlSeasonBREF,winsTeam,lossesTeam,winsPythagTeam,lossesPythagTeam,marginVictoryTeam,ratioFTtoFGATeam,ratioFTtoFGAOpponent,nameArena,attendancePerGameTeam,Team,urlBREFTeamData,idTeamNBA,urlThumbnailTeam,ageMeanMisc,ratingStrengthOfScheduleMisc,ratingSimpleSystemMisc,ortgTeamMisc,drtgTeamMisc,nrtgTeamMisc,paceTeamMisc,pctFTRateMisc,pct3PRateMisc,pctTrueShootingeTeamMisc,pctEFGTeamMisc,pctTOVTeamMisc,pctORBTeamMisc,pctEFGTeamOppMisc,pctTOVOpponentMisc,pctDRBOpponentMisc,isPlayoffTeam,beatExpectedWins
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,31,51,31,51,-3.67,0.188,0.214,Madison Square Garden (IV),19774,NYK,https://www.basketball-reference.com/teams/NYK/2017.html,1610612752,https://stats.nba.com/media/img/teams/logos/NYK_logo.svg,27.3,-0.2,-3.87,107.7,111.5,-3.8,96,0.239,0.279,0.534,0.496,12.4,26.6,0.511,11.7,74.1,FALSE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,24,58,27,55,-5.63,0.231,0.264,Talking Stick Resort Arena,17134,PHO,https://www.basketball-reference.com/teams/PHO/2017.html,1610612756,https://stats.nba.com/media/img/teams/logos/PHX_logo.svg,25,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26,0.525,13.1,76.4,FALSE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,28,54,26,56,-5.7,0.199,0.234,Wells Fargo Center,17331,PHI,https://www.basketball-reference.com/teams/PHI/2017.html,1610612755,https://stats.nba.com/media/img/teams/logos/PHI_logo.svg,24.6,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.512,13.5,75.3,FALSE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,26,56,24,58,-6.88,0.195,0.213,STAPLES Center,18949,LAL,https://www.basketball-reference.com/teams/LAL/2017.html,1610612747,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg,25.1,0.58,-6.29,106,113,-7,98.5,0.259,0.295,0.537,0.501,13.5,25,0.542,13,75.8,FALSE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,29,53,24,58,-6.57,0.184,0.201,Amway Center,17753,ORL,https://www.basketball-reference.com/teams/ORL/2017.html,1610612753,https://stats.nba.com/media/img/teams/logos/ORL_logo.svg,25.3,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.523,11.9,77.4,FALSE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,20,62,24,58,-6.73,0.228,0.212,Barclays Center,15429,BRK,https://www.basketball-reference.com/teams/BRK/2017.html,1610612751,https://stats.nba.com/media/img/teams/logos/BKN_logo.svg,26,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.513,11.6,76.1,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,65,17,61,21,8.48,0.233,0.171,Toyota Center,17871,HOU,https://www.basketball-reference.com/teams/HOU/2018.html,1610612745,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg,29.8,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.521,13.4,79.9,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,59,23,60,22,7.78,0.198,0.212,Air Canada Centre,19840,TOR,https://www.basketball-reference.com/teams/TOR/2018.html,1610612761,https://stats.nba.com/media/img/teams/logos/TOR_logo.svg,25.8,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.501,13,77.7,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,58,24,56,26,5.98,0.195,0.186,Oracle Arena,19596,GSW,https://www.basketball-reference.com/teams/GSW/2018.html,1610612744,https://stats.nba.com/media/img/teams/logos/GSW_logo.svg,28.8,-0.19,5.79,113.6,107.6,6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.504,12.6,76.3,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,48,34,53,29,4.3,0.202,0.19,Vivint Smart Home Arena,17922,UTA,https://www.basketball-reference.com/teams/UTA/2018.html,1610612762,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg,26.7,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.506,14,79.8,TRUE,FALSE
