Player.x,Team.x,Season.x,pos,Age.x,GP.x,W.x,L.x,Min.x,Offrtg,Defrtg,Netrtg,Ast_Pct,Ast_TO,Ast_Ratio,OREB_Pct,DREB_Pct,REB_Pct,To_Ratio,EFG_Pct,TS_Pct,USG_Pct,Pace,PIE,Screen_Assists,Screen_Assists_Pts,Deflections,Off_loose_balls_recovered,Def_loose_balls_recovered,loose_balls_recovered,Off_loose_balls_recovered_pct,Def_loose_balls_recovered_pct,Charges_drawn,Contested_2p_shots,Contested_3p_shots,Contested_shots,Pts_of_TOV,Second_pts,FBPS,PITP,OPP_pts_off_TO,OPP_Second_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD,mp,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,Salary,All_Star,FGM_0_8,FGA_0_8,FG._0_8,FGM_8_16,FGA_8_16,FG._8_16,FGM_16_24,FGA_16_24,FG._16_24,FGM_24_plus,FGA_24_plus,FG._24_plus,FGM_backcourt,FGA_backcourt,FG._backcourt
Chris Paul,LAC,2017,PG,32,61,43,18,31.5,117.3,102.8,14.4,44.4,3.83,35.1,2.2,13.2,8,9.2,55.5,61.4,23.9,96.97,18.2,0.2,0.5,3.5,0,0,1.5,0,0,0.03,2.5,2.7,5.2,2.4,1.3,2.3,2.8,9.2,7.2,8.5,25.9,0.1,0.2,2.4,3.7,1921,26.2,0.614,0.385,0.331,2.4,15,8.9,46.8,3.1,0.3,14,24.4,7.9,2.6,10.6,0.264,7.8,1.1,8.8,5.3,22868827,0,0.9,1.5,55.9,1.6,3,51.9,1.7,3.4,49.8,2,4.9,41,0,0,50
Christian Wood,CHA,2017,PF,21,13,5,8,8.2,102.8,95.3,7.5,3.1,0.29,5.1,12.8,12.8,12.8,17.9,52.2,59.1,15,95.34,9.3,1.4,3.2,0.5,0,0,0.2,0,0,0,2.1,0.8,3,0.5,0.9,0.2,1.8,3.5,2,2.4,6.6,0.5,0.2,0.8,1.3,107,15.1,0.591,0.217,0.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,0.1,0.1,0.3,0.125,-2.5,0.6,-2,0,874636,0,0.9,1.3,70.6,0,0.1,0,0,0,0,0,0.4,0,0,0,0
CJ McCollum,POR,2017,SG,25,80,40,40,34.9,109.6,108.9,0.7,17.5,1.66,14.1,2.1,8,5.1,8.5,54.4,58.5,26.8,98.58,12.5,0.3,0.8,1.5,0,0,1.1,0,0,0.04,5.3,3.5,8.7,2.8,2,2.2,6.9,11,9,8.7,30.7,0.5,1,2.5,2.9,2796,19.9,0.585,0.305,0.204,2.4,9.1,5.7,18,1.3,1.2,9.9,27.5,6.2,1.4,7.6,0.131,3.2,-2.3,1,2.1,3219579,0,2.8,5.1,53.8,1.8,3.4,52.2,1.8,4,45.2,2.3,5.4,42.7,0,0.1,0
CJ Miles,IND,2017,SF,30,76,39,37,23.4,107.7,106,1.7,4.1,1.2,6.2,1.7,11.4,6.5,5.2,56.5,59.2,17.9,97.35,8.6,0.2,0.5,1.2,0,0,0.6,0,0,0.12,2.5,2.6,5.1,1.9,1.5,1.1,2,7.3,5.8,5.1,18.1,0.3,0.3,2,1.1,1776,13.8,0.592,0.632,0.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,2.7,1.4,4,0.109,1.6,-2.1,-0.5,0.7,4583450,0,0.9,1.6,56.7,0.2,0.5,42.9,0.4,1.1,34.9,2.2,5.3,41,0,0,0
Clint Capela,HOU,2017,C,23,65,44,21,23.9,114.9,107.5,7.4,6.6,0.72,8,11.3,22.2,16.7,11,64.3,63.8,19.9,99.99,13,2.5,5.7,0.9,0,0,0.9,0,0,0.09,8.3,1.9,10.2,2.3,2.6,1.4,11.1,8.4,6.5,7,24.6,1.2,0.9,2.8,2.1,1551,21.4,0.638,0,0.314,12.5,24.5,18.5,6.7,1.1,4.1,12,19.9,3.8,2.1,5.9,0.184,0,0.9,0.9,1.1,1296240,0,5.5,8.5,65,0,0.1,14.3,0,0,50,0,0,0,0,0,0
Cody Zeller,CHA,2017,C,24,62,33,29,27.8,110,104.1,6,8.7,1.52,14.3,7.6,15.7,11.6,9.4,57.1,60.4,15.3,96.29,9.6,5.9,13.7,2,0,0,1.1,0,0,0.03,7.9,1.2,9.1,1.7,1.7,1.1,7.6,6.7,6.1,5.8,22.5,0.9,0.9,3,2.6,1725,16.7,0.604,0.002,0.442,8.6,17.3,12.9,9.1,1.8,3,10.9,15.5,3.4,2.2,5.6,0.157,-0.2,2.3,2.1,1.8,5318313,0,3.6,5.8,62.7,0.2,0.5,46.7,0.2,0.9,26.4,0,0,0,0,0,0
Cole Aldrich,MIN,2017,C,28,62,23,39,8.6,105.5,107.1,-1.6,6.3,1.47,18.2,9.8,21.2,15.4,12.4,52.3,54.9,9.1,98.34,7.6,1.2,2.8,1,0,0,0.3,0,0,0,3,0.6,3.6,0.2,0.4,0,1.5,3.1,2.4,2.3,8.3,0.4,0.1,1.4,0.4,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2,2.6,0.6,0.4,7643979,0,0.7,1.4,53.6,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,LAL,2017,SF,31,82,47,35,15.6,108.8,104.6,4.2,10.4,1.76,18.3,2.4,10.4,6.3,10.4,46.1,49.1,14.3,100.67,5.7,0.1,0.1,1.6,0,0,0.5,0,0,0.02,2.1,1.7,3.7,1.2,0.5,1.3,2.7,5.7,4.7,4.3,14.7,0.2,0.3,1.6,0.9,358,13.3,0.49,0.198,0.198,3.2,13,7.9,15,3.3,1.8,12.6,18,0,0.3,0.3,0.047,-2.4,0.7,-1.7,0,7612172,0,1.3,2.4,54.4,0.1,0.3,39.3,0,0.1,42.9,0.3,1.4,24.1,0,0.1,0
Cory Joseph,TOR,2017,PG,25,80,49,31,25,108.8,107.8,1.1,20,2.45,24.4,2.5,9.2,5.8,9.9,48.9,51.8,17.9,96.95,8.9,0.3,0.8,1.4,0,0,0.8,0,0,0.05,3.2,3.2,6.3,1.5,0.8,1,4.3,7.9,7,6.2,21.9,0.2,0.5,1.8,2,2003,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20,1.7,0.6,13.1,18.4,1.7,1.7,3.4,0.082,-0.4,-0.4,-0.8,0.6,7315000,0,1.9,3.4,54.2,0.5,1.4,35.5,0.8,1.8,44.8,0.6,1.7,35.6,0,0,0
Courtney Lee,NYK,2017,SG,31,77,29,48,31.9,107.4,112.1,-4.7,10.4,2.59,18,2.1,8.2,5.1,6.9,53.3,55.9,14.4,96.57,7.7,0.1,0.3,2,0,0,0.9,0,0,0.01,3.1,2.8,5.9,2,1.5,1.5,2.8,10.6,9.9,9.9,32,0.3,0.3,1.8,1,2459,12.2,0.559,0.382,0.139,2.3,9,5.7,10.6,1.6,0.8,8.5,14.4,3.1,1.1,4.2,0.081,0.6,-0.7,-0.1,1.1,11242000,0,1.2,2.2,52.3,0.8,1.6,48.8,0.8,1.8,45,1.4,3.5,40.1,0,0,0
